Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime,Verdict
Zero,2018,19.35,54.6,82.6,90.28,Flop
Jab Harry Met Sejal,2017,15.25,45.75,59.65,64.33,Flop
Raees,2017,20.42,93.24,118.36,137.51,Semi-Hit
Dear Zindagi,2016,8.75,32.5,47,68.16,Hit
Fan,2016,19.2,52.35,71.5,84.1,Flop
Dilwale,2015,21,65.09,102.65,148.72,Semi-Hit
Happy New Year,2014,44.97,108.86,157.57,203,Super-Hit
Chennai Express,2013,33.12,100.42,156.7,227.13,Blockbuster
Jab Tak Hai Jaan,2012,15.23,80.73,98.41,120.85,Hit
Don 2,2011,15.3,48.39,75.51,106.71,Hit
Ra.One,2011,18.5,92,99,114.29,Hit
My Name Is Khan,2010,8,30,48.45,82.52,Semi-Hit
Dulha Mil Gaya,2010,N.A,N.A,N.A,4.15,Flop
Billu,2009,3.78,12.05,17.53,22.92,Flop
Rab Ne Bana Di Jodi,2008,6.76,24.32,41.79,84.68,Super-Hit
Om Shanti Om,2007,5.53,21.47,36.38,78.17,Super-Hit
Chak De India,2007,3.07,11.53,21.53,66.54,Super-Hit
Don – The Chase Begins Again,2006,4.65,14.18,24.44,50.35,Hit
Kabhi Alvida Naa Kehna,2006,5.18,16.62,27.79,44.41,Semi-Hit
Paheli,2005,2.02,5.76,8.75,12.85,Flop
Swades,2004,1.63,5.15,8.28,16.31,Flop
Veer Zaara,2004,2.46,9.78,17.57,41.86,Super-Hit
Main Hoon Na,2004,2.72,8.03,14.57,36.2,Hit
Yeh Lamhe Judaai Ke,2004,0.01,N.A,0,N.A,Flop
Kal Ho Naa Ho,2003,2.17,6.71,12.45,38.55,Hit
Chalte Chalte,2003,1.5,4.52,8.23,19.44,Hit
Shakti – The Power,2002,0.98,2.82,4.62,8.48,Flop
Devdas,2002,2.09,6.15,11.78,41.66,Hit
Hum Tumhare Hain Sanam,2002,1.42,4.14,6.84,13.52,Average
Kabhi Khushi Kabhie Gham,2001,2.38,7,14.38,55.65,Super-Hit
Asoka,2001,1,2.87,5.27,11.54,Flop
One 2 Ka 4,2001,0.77,2.14,3.71,6.64,Flop
Mohabbatein,2000,1.19,3.54,7.62,41.88,Blockbuster
Josh,2000,1.25,3.71,7.25,17.83,Average
Hey! Ram,2000,0.44,1.31,2.39,5.32,Flop
Phir Bhi Dil Hai Hindustani,2000,0.91,2.74,5.08,10.75,Flop
Baadshah,1999,1.1,3.21,5.88,14.87,Average
Kuch Kuch Hota Hai,1998,0.87,2.74,5.64,46.87,Blockbuster
Dil Se,1998,0.92,2.68,4.75,10.77,Flop
Duplicate,1998,N.A,N.A,4.63,10.17,Flop
Dil To Pagal Hai,1997,0.98,2.75,5.24,34.97,Super-Hit
Pardes,1997,0.61,2,3.65,22.83,Hit
Yes Boss,1997,0.57,1.79,3.29,11.33,Hit
Koyla,1997,1.06,3.1,5.52,14.88,Average
Army,1996,0.63,1.74,3,6.59,Flop
Chaahat,1996,0.61,1.77,3.06,6.87,Flop
English Babu Desi Mem,1996,0.31,1,1.65,3.78,Flop
Trimurti,1995,1.06,3.07,5.04,8.58,Flop
Ram Jaane,1995,0.62,1.78,3.16,8.61,Average
Dilwale Dulhania Le Jayenge,1995,0.55,1.56,3.37,53.31,All Time Blockbuster
Oh Darling Yeh Hai India,1995,0.22,0.68,1.16,1.78,Average
Guddu,1995,0.25,0.78,1.34,2.55,Flop
Zamaana Deewana,1995,0.52,1.5,2.54,4.67,Flop
Karan Arjun,1995,0.8,2.24,4.29,25.29,Blockbuster
Anjaam,1994,0.4,1.16,2.04,4.99,Average
Kabhi Haan Kabhi Naa,1994,0.14,0.5,0.96,3.88,Average
Darr,1993,0.47,1.39,2.65,10.74,Blockbuster
Baazigar,1993,N.A,N.A,N.A,7.75,Super-Hit
King Uncle,1993,N.A,N.A,N.A,2,Flop
Deewana,1992,N.A,N.A,N.A,7.75,Super-Hit